n-2,n-1,n,n+1,n+2
16.544,16.458,16.441,16.431,16.543
16.373,16.544,16.458,16.441,16.431
16.373,16.373,16.544,16.458,16.441
16.546,16.373,16.373,16.544,16.458
16.687,16.546,16.373,16.373,16.544
16.405,16.687,16.546,16.373,16.373
16.575,16.405,16.687,16.546,16.373
16.52,16.575,16.405,16.687,16.546
16.455,16.52,16.575,16.405,16.687
16.481,16.455,16.52,16.575,16.405
16.371,16.481,16.455,16.52,16.575
16.269,16.371,16.481,16.455,16.52
16.645,16.269,16.371,16.481,16.455
16.752,16.645,16.269,16.371,16.481
16.759,16.752,16.645,16.269,16.371
16.539,16.759,16.752,16.645,16.269
16.472,16.539,16.759,16.752,16.645
16.495,16.472,16.539,16.759,16.752
16.519,16.495,16.472,16.539,16.759
16.447,16.519,16.495,16.472,16.539
16.375,16.447,16.519,16.495,16.472
16.127,16.375,16.447,16.519,16.495
16.401,16.127,16.375,16.447,16.519
16.497,16.401,16.127,16.375,16.447
16.491,16.497,16.401,16.127,16.375
16.502,16.491,16.497,16.401,16.127
16.703,16.502,16.491,16.497,16.401
16.587,16.703,16.502,16.491,16.497
17.163,16.587,16.703,16.502,16.491
17.239,17.163,16.587,16.703,16.502
17.248,17.239,17.163,16.587,16.703
16.787,17.248,17.239,17.163,16.587
16.677,16.787,17.248,17.239,17.163
16.658,16.677,16.787,17.248,17.239
16.473,16.658,16.677,16.787,17.248
16.768,16.473,16.658,16.677,16.787
16.596,16.768,16.473,16.658,16.677
16.529,16.596,16.768,16.473,16.658
16.362,16.529,16.596,16.768,16.473
16.355,16.362,16.529,16.596,16.768
16.254,16.355,16.362,16.529,16.596
16.392,16.254,16.355,16.362,16.529
16.672,16.392,16.254,16.355,16.362
16.268,16.672,16.392,16.254,16.355
16.253,16.268,16.672,16.392,16.254
16.541,16.253,16.268,16.672,16.392
16.684,16.541,16.253,16.268,16.672
16.582,16.684,16.541,16.253,16.268
16.387,16.582,16.684,16.541,16.253
16.419,16.387,16.582,16.684,16.541
16.185,16.419,16.387,16.582,16.684
16.325,16.185,16.419,16.387,16.582
16.272,16.325,16.185,16.419,16.387
16.422,16.272,16.325,16.185,16.419
16.537,16.422,16.272,16.325,16.185
16.627,16.537,16.422,16.272,16.325
16.536,16.627,16.537,16.422,16.272
16.608,16.536,16.627,16.537,16.422
16.5,16.608,16.536,16.627,16.537
16.494,16.5,16.608,16.536,16.627
16.784,16.494,16.5,16.608,16.536
16.412,16.784,16.494,16.5,16.608
16.466,16.412,16.784,16.494,16.5
16.276,16.466,16.412,16.784,16.494
16.407,16.276,16.466,16.412,16.784
16.434,16.407,16.276,16.466,16.412
16.55,16.434,16.407,16.276,16.466
16.484,16.55,16.434,16.407,16.276
16.587,16.484,16.55,16.434,16.407
16.617,16.587,16.484,16.55,16.434
16.478,16.617,16.587,16.484,16.55
16.438,16.478,16.617,16.587,16.484
16.712,16.438,16.478,16.617,16.587
16.796,16.712,16.438,16.478,16.617
16.878,16.796,16.712,16.438,16.478
16.528,16.878,16.796,16.712,16.438
16.57,16.528,16.878,16.796,16.712
16.139,16.57,16.528,16.878,16.796
16.341,16.139,16.57,16.528,16.878
16.238,16.341,16.139,16.57,16.528
16.58,16.238,16.341,16.139,16.57
16.671,16.58,16.238,16.341,16.139
16.709,16.671,16.58,16.238,16.341
17.155,16.709,16.671,16.58,16.238
17.241,17.155,16.709,16.671,16.58
17.058,17.241,17.155,16.709,16.671
17.127,17.058,17.241,17.155,16.709
17.441,17.127,17.058,17.241,17.155
17.615,17.441,17.127,17.058,17.241
17.489,17.615,17.441,17.127,17.058
16.913,17.489,17.615,17.441,17.127
16.989,16.913,17.489,17.615,17.441
17.036,16.989,16.913,17.489,17.615
16.954,17.036,16.989,16.913,17.489
17.166,16.954,17.036,16.989,16.913
17.189,17.166,16.954,17.036,16.989
17.189,17.189,17.166,16.954,17.036
17.141,17.189,17.189,17.166,16.954
16.966,17.141,17.189,17.189,17.166
17.035,16.966,17.141,17.189,17.189
17.01,17.035,16.966,17.141,17.189
17.144,17.01,17.035,16.966,17.141
17.285,17.144,17.01,17.035,16.966
17.269,17.285,17.144,17.01,17.035
17.267,17.269,17.285,17.144,17.01
17.206,17.267,17.269,17.285,17.144
17.145,17.206,17.267,17.269,17.285
16.923,17.145,17.206,17.267,17.269
16.756,16.923,17.145,17.206,17.267
16.604,16.756,16.923,17.145,17.206
16.444,16.604,16.756,16.923,17.145
16.239,16.444,16.604,16.756,16.923
16.275,16.239,16.444,16.604,16.756
16.153,16.275,16.239,16.444,16.604
16.205,16.153,16.275,16.239,16.444
16.063,16.205,16.153,16.275,16.239
15.934,16.063,16.205,16.153,16.275
15.869,15.934,16.063,16.205,16.153
15.668,15.869,15.934,16.063,16.205
15.785,15.668,15.869,15.934,16.063
15.823,15.785,15.668,15.869,15.934
15.802,15.823,15.785,15.668,15.869
15.955,15.802,15.823,15.785,15.668
16.068,15.955,15.802,15.823,15.785
16.373,16.068,15.955,15.802,15.823
16.388,16.373,16.068,15.955,15.802
16.474,16.388,16.373,16.068,15.955
16.561,16.474,16.388,16.373,16.068
16.822,16.561,16.474,16.388,16.373
17.02,16.822,16.561,16.474,16.388
17.022,17.02,16.822,16.561,16.474
16.992,17.022,17.02,16.822,16.561
17.112,16.992,17.022,17.02,16.822
16.96,17.112,16.992,17.022,17.02
16.842,16.96,17.112,16.992,17.022
17.373,16.842,16.96,17.112,16.992
17.072,17.373,16.842,16.96,17.112
16.971,17.072,17.373,16.842,16.96
17.073,16.971,17.072,17.373,16.842
17.047,17.073,16.971,17.072,17.373
16.871,17.047,17.073,16.971,17.072
16.975,16.871,17.047,17.073,16.971
17.138,16.975,16.871,17.047,17.073
16.94,17.138,16.975,16.871,17.047
17.235,16.94,17.138,16.975,16.871
16.834,17.235,16.94,17.138,16.975
17.137,16.834,17.235,16.94,17.138
17.176,17.137,16.834,17.235,16.94
16.693,17.176,17.137,16.834,17.235
16.847,16.693,17.176,17.137,16.834
16.752,16.847,16.693,17.176,17.137
16.811,16.752,16.847,16.693,17.176
16.925,16.811,16.752,16.847,16.693
16.966,16.925,16.811,16.752,16.847
17.075,16.966,16.925,16.811,16.752
17.078,17.075,16.966,16.925,16.811
17.255,17.078,17.075,16.966,16.925
16.997,17.255,17.078,17.075,16.966
17.041,16.997,17.255,17.078,17.075
17.369,17.041,16.997,17.255,17.078
17.411,17.369,17.041,16.997,17.255
17.266,17.411,17.369,17.041,16.997
17.133,17.266,17.411,17.369,17.041
17.207,17.133,17.266,17.411,17.369
16.971,17.207,17.133,17.266,17.411
16.79,16.971,17.207,17.133,17.266
16.638,16.79,16.971,17.207,17.133
16.624,16.638,16.79,16.971,17.207
16.65,16.624,16.638,16.79,16.971
16.654,16.65,16.624,16.638,16.79
16.676,16.654,16.65,16.624,16.638
16.847,16.676,16.654,16.65,16.624
16.827,16.847,16.676,16.654,16.65
16.883,16.827,16.847,16.676,16.654
17.147,16.883,16.827,16.847,16.676
16.984,17.147,16.883,16.827,16.847
17.018,16.984,17.147,16.883,16.827
17.334,17.018,16.984,17.147,16.883
17.279,17.334,17.018,16.984,17.147
17.156,17.279,17.334,17.018,16.984
17.701,17.156,17.279,17.334,17.018
17.789,17.701,17.156,17.279,17.334
17.867,17.789,17.701,17.156,17.279
17.89,17.867,17.789,17.701,17.156
17.902,17.89,17.867,17.789,17.701
18.123,17.902,17.89,17.867,17.789
18.116,18.123,17.902,17.89,17.867
17.91,18.116,18.123,17.902,17.89
17.906,17.91,18.116,18.123,17.902
17.941,17.906,17.91,18.116,18.123
17.816,17.941,17.906,17.91,18.116
17.575,17.816,17.941,17.906,17.91
17.503,17.575,17.816,17.941,17.906
17.426,17.503,17.575,17.816,17.941
17.441,17.426,17.503,17.575,17.816
17.049,17.441,17.426,17.503,17.575
16.963,17.049,17.441,17.426,17.503
17.046,16.963,17.049,17.441,17.426
16.982,17.046,16.963,17.049,17.441
17.015,16.982,17.046,16.963,17.049
17,17.015,16.982,17.046,16.963
17.053,17,17.015,16.982,17.046
16.94,17.053,17,17.015,16.982
16.714,16.94,17.053,17,17.015
17.122,16.714,16.94,17.053,17
17.07,17.122,16.714,16.94,17.053
17.065,17.07,17.122,16.714,16.94
16.863,17.065,17.07,17.122,16.714
16.389,16.863,17.065,17.07,17.122
16.251,16.389,16.863,17.065,17.07
16.252,16.251,16.389,16.863,17.065
16.63,16.252,16.251,16.389,16.863
16.733,16.63,16.252,16.251,16.389
16.764,16.733,16.63,16.252,16.251
16.786,16.764,16.733,16.63,16.252
16.695,16.786,16.764,16.733,16.63
16.573,16.695,16.786,16.764,16.733
16.459,16.573,16.695,16.786,16.764
16.542,16.459,16.573,16.695,16.786
16.443,16.542,16.459,16.573,16.695
16.457,16.443,16.542,16.459,16.573
16.345,16.457,16.443,16.542,16.459
16.297,16.345,16.457,16.443,16.542
16.268,16.297,16.345,16.457,16.443
16.099,16.268,16.297,16.345,16.457
15.933,16.099,16.268,16.297,16.345
15.691,15.933,16.099,16.268,16.297
15.887,15.691,15.933,16.099,16.268
15.745,15.887,15.691,15.933,16.099
15.629,15.745,15.887,15.691,15.933
15.425,15.629,15.745,15.887,15.691
15.983,15.425,15.629,15.745,15.887
15.896,15.983,15.425,15.629,15.745
15.896,15.896,15.983,15.425,15.629
16.092,15.896,15.896,15.983,15.425
16.627,16.092,15.896,15.896,15.983
16.654,16.627,16.092,15.896,15.896
16.727,16.654,16.627,16.092,15.896
16.588,16.727,16.654,16.627,16.092
16.572,16.588,16.727,16.654,16.627
16.647,16.572,16.588,16.727,16.654
16.509,16.647,16.572,16.588,16.727
16.374,16.509,16.647,16.572,16.588
16.417,16.374,16.509,16.647,16.572
16.502,16.417,16.374,16.509,16.647
16.661,16.502,16.417,16.374,16.509
16.716,16.661,16.502,16.417,16.374
17.136,16.716,16.661,16.502,16.417
16.767,17.136,16.716,16.661,16.502
16.944,16.767,17.136,16.716,16.661
17.223,16.944,16.767,17.136,16.716
17.414,17.223,16.944,16.767,17.136
17.62,17.414,17.223,16.944,16.767
17.71,17.62,17.414,17.223,16.944
17.581,17.71,17.62,17.414,17.223
17.525,17.581,17.71,17.62,17.414
17.281,17.525,17.581,17.71,17.62
17.406,17.281,17.525,17.581,17.71
17.464,17.406,17.281,17.525,17.581
17.427,17.464,17.406,17.281,17.525
17.323,17.427,17.464,17.406,17.281
17.193,17.323,17.427,17.464,17.406
17.117,17.193,17.323,17.427,17.464
17.139,17.117,17.193,17.323,17.427
17.191,17.139,17.117,17.193,17.323
16.796,17.191,17.139,17.117,17.193
16.67,16.796,17.191,17.139,17.117
16.906,16.67,16.796,17.191,17.139
16.747,16.906,16.67,16.796,17.191
16.603,16.747,16.906,16.67,16.796
16.402,16.603,16.747,16.906,16.67
16.265,16.402,16.603,16.747,16.906
16.207,16.265,16.402,16.603,16.747
16.067,16.207,16.265,16.402,16.603
16.258,16.067,16.207,16.265,16.402
16.274,16.258,16.067,16.207,16.265
16.303,16.274,16.258,16.067,16.207
16.546,16.303,16.274,16.258,16.067
16.831,16.546,16.303,16.274,16.258
16.842,16.831,16.546,16.303,16.274
17.262,16.842,16.831,16.546,16.303
17.334,17.262,16.842,16.831,16.546
17.363,17.334,17.262,16.842,16.831
17.591,17.363,17.334,17.262,16.842
17.858,17.591,17.363,17.334,17.262
17.856,17.858,17.591,17.363,17.334
18.018,17.856,17.858,17.591,17.363
18.162,18.018,17.856,17.858,17.591
18.272,18.162,18.018,17.856,17.858
18.514,18.272,18.162,18.018,17.856
18.51,18.514,18.272,18.162,18.018
18.3,18.51,18.514,18.272,18.162
18.254,18.3,18.51,18.514,18.272
17.915,18.254,18.3,18.51,18.514
18.151,17.915,18.254,18.3,18.51
18.246,18.151,17.915,18.254,18.3
18.187,18.246,18.151,17.915,18.254
18.323,18.187,18.246,18.151,17.915
18.212,18.323,18.187,18.246,18.151
18.256,18.212,18.323,18.187,18.246
18.206,18.256,18.212,18.323,18.187
18.252,18.206,18.256,18.212,18.323
18.252,18.252,18.206,18.256,18.212
18.108,18.252,18.252,18.206,18.256
17.748,18.108,18.252,18.252,18.206
17.593,17.748,18.108,18.252,18.252
17.578,17.593,17.748,18.108,18.252
17.583,17.578,17.593,17.748,18.108
17.438,17.583,17.578,17.593,17.748
17.413,17.438,17.583,17.578,17.593
17.33,17.413,17.438,17.583,17.578
16.923,17.33,17.413,17.438,17.583
16.923,16.923,17.33,17.413,17.438
16.972,16.923,16.923,17.33,17.413
16.923,16.972,16.923,16.923,17.33
17.036,16.923,16.972,16.923,16.923
17.298,17.036,16.923,16.972,16.923
17.536,17.298,17.036,16.923,16.972
17.773,17.536,17.298,17.036,16.923
17.74,17.773,17.536,17.298,17.036
17.748,17.74,17.773,17.536,17.298
18.489,17.748,17.74,17.773,17.536
18.469,18.489,17.748,17.74,17.773
18.417,18.469,18.489,17.748,17.74
18.406,18.417,18.469,18.489,17.748
18.117,18.406,18.417,18.469,18.489
17.95,18.117,18.406,18.417,18.469
18.04,17.95,18.117,18.406,18.417
18.001,18.04,17.95,18.117,18.406
18.03,18.001,18.04,17.95,18.117
18.074,18.03,18.001,18.04,17.95
17.963,18.074,18.03,18.001,18.04
17.889,17.963,18.074,18.03,18.001
17.821,17.889,17.963,18.074,18.03
17.933,17.821,17.889,17.963,18.074
17.741,17.933,17.821,17.889,17.963
17.705,17.741,17.933,17.821,17.889
17.756,17.705,17.741,17.933,17.821
17.693,17.756,17.705,17.741,17.933
17.479,17.693,17.756,17.705,17.741
17.429,17.479,17.693,17.756,17.705
17.45,17.429,17.479,17.693,17.756
17.543,17.45,17.429,17.479,17.693
17.152,17.543,17.45,17.429,17.479
17.136,17.152,17.543,17.45,17.429
16.85,17.136,17.152,17.543,17.45
16.98,16.85,17.136,17.152,17.543
17.185,16.98,16.85,17.136,17.152
17.186,17.185,16.98,16.85,17.136
17.032,17.186,17.185,16.98,16.85
17.002,17.032,17.186,17.185,16.98
17.274,17.002,17.032,17.186,17.185
17.148,17.274,17.002,17.032,17.186
17.148,17.148,17.274,17.002,17.032
16.765,17.148,17.148,17.274,17.002
16.825,16.765,17.148,17.148,17.274
16.828,16.825,16.765,17.148,17.148
16.848,16.828,16.825,16.765,17.148
16.683,16.848,16.828,16.825,16.765
16.519,16.683,16.848,16.828,16.825
16.637,16.519,16.683,16.848,16.828
16.552,16.637,16.519,16.683,16.848
16.409,16.552,16.637,16.519,16.683
